# T08 | 2026-03-14 20:15:42 | 364.5s

## Prompt
请为以下两个模块编写 service 单元测试：
A) packages/server/test/agent/agent.service.spec.ts — 覆盖 AgentService（或 AgentStatusService）的：
   先读取 packages/server/src/modules/agent/agent.service.ts 和 agent-status.service.ts，了解依赖后编写。
   至少覆盖：上线/下线、获取坐席状态列表、更新状态、分配来电（call-distribution）相关（至少 10 个 case）。
B) packages/server/test/recording/recording.service.spec.ts — 覆盖 RecordingService 的：
   先读取 packages/server/src/modules/recording/recording.service.ts，了解依赖。
   至少覆盖：上传录音文件（触发 ASR 队列）、查询录音列表、获取录音下载链接、ASR 转写状态查询（至少 8 个 case）。
使用 @nestjs/bull 的 getQueueToken 在测试中 mock BullQueue（参考 packages/server/test/ai 下的 processor spec 写法）。

## Output
Done. Here's the summary:

## A) `packages/server/test/agent/agent.service.spec.ts` 鈥?27 tests

| Describe | Tests | Coverage |
|---|---|---|
| **AgentStatusService.getStatus** | 3 | valid Redis value, null, invalid value |
| **AgentStatusService.transition** | 4 | valid OFFLINE鈫扞DLE, invalid transition throw, WRAP_UP ZSET add, WRAP_UP ZSET remove |
| **AgentStatusService.getWrapUpOverdueAgentIds** | 2 | overdue agents, NaN filtering |
| **AgentService.list** | 4 | batch MGET statuses, SALES restriction, status filter, empty result |
| **AgentService.getOne** | 2 | success with status, NotFoundException |
| **AgentService.available** | 2 | IDLE filter via MGET, empty users |
| **AgentService.getStats** | 1 | ON_CALL count |
| **AgentService.statusLogs** | 1 | date-filtered query |
| **CallDistributionService (round_robin)** | 3 | cycle, wrap-around, empty list null |
| **CallDistributionService (least_calls)** | 2 | fewest calls agent, single agent |
| **CallDistributionService (skill_based)** | 3 | skill match + least_calls, fallback when no match, empty skillIds |

## B) `packages/server/test/recording/recording.service.spec.ts` 鈥?13 tests

| Describe | Tests | Coverage |
|---|---|---|
| **findRecordings** | 2 | admin pagination, SALES ownership restriction |
| **getRecording** | 3 | admin success, NotFoundException, ForbiddenException |
| **triggerAsr** | 4 | short duration skip, existing task return, create + enqueue, fallback to callRecord duration |
| **runAsrForTask** | 3 | full ASR pipeline + transcript save, no pending task skip, adapter error 鈫?FAILED status |
| **getTranscripts** | 1 | empty when no completed tasks |

## test-utils updates
- `MockQueryBuilder`: added `innerJoin`
- `MockRedisService`: added `zAdd`, `zRem`, `zRangeByScore`
